baseline_question,variant_index,strategy,question,answer,ground_truth,consistency_rate
is there pneumothorax?,0,baseline,is there pneumothorax?,yes,no,0.6666666666666666
is there pneumothorax?,1,phrasing variation (article insertion),Is there a pneumothorax?,yes,no,0.6666666666666666
is there pneumothorax?,2,phrasing variation (use of 'present'),Is a pneumothorax present?,no,no,0.6666666666666666
is there pneumothorax?,3,synonym replacement (is→exist),Does a pneumothorax exist?,yes,no,0.6666666666666666
is there pneumothorax?,4,voice change (observational/passive phrasing),Is pneumothorax seen?,yes,no,0.6666666666666666
is there pneumothorax?,5,register shift and ellipsis,Any pneumothorax present?,no,no,0.6666666666666666
is there pneumothorax?,0,baseline,is there pneumothorax?,yes,no,0.6666666666666666
is there pneumothorax?,1,Phrasing variation,Is a pneumothorax present?,no,no,0.6666666666666666
is there pneumothorax?,2,Register shift (elliptical/concise),Is pneumothorax present?,yes,no,0.6666666666666666
is there pneumothorax?,3,Register shift (telegraphic),Pneumothorax present?,yes,no,0.6666666666666666
is there pneumothorax?,4,Voice change (passive),Is a pneumothorax detected?,yes,no,0.6666666666666666
is there pneumothorax?,5,Synonym replacement (abbreviation),Is PTX present?,no,no,0.6666666666666666
is there pulmonary arterial hypertension?,0,baseline,is there pulmonary arterial hypertension?,yes,yes,1.0
is there pulmonary arterial hypertension?,1,Phrasing variation,Is pulmonary arterial hypertension present?,yes,yes,1.0
is there pulmonary arterial hypertension?,2,Synonym/abbreviation replacement,Is there PAH?,yes,yes,1.0
is there pulmonary arterial hypertension?,3,Synonym/abbreviation replacement + phrasing variation,Is PAH present?,yes,yes,1.0
is there pulmonary arterial hypertension?,4,Register shift (elliptical question),Presence of pulmonary arterial hypertension?,yes,yes,1.0
is there pulmonary arterial hypertension?,5,Clause reordering,Pulmonary arterial hypertension — is it present?,yes,yes,1.0
is there pulmonary edema?,0,baseline,is there pulmonary edema?,no,yes,1.0
is there pulmonary edema?,1,phrasing variation,Is pulmonary edema present?,no,yes,1.0
is there pulmonary edema?,2,spelling variant (American→British),Is there pulmonary oedema?,no,yes,1.0
is there pulmonary edema?,3,synonym replacement (pulmonary→lung),Is lung edema present?,no,yes,1.0
is there pulmonary edema?,4,clause reordering / punctuation variation,Pulmonary edema: is it present?,no,yes,1.0
is there pulmonary edema?,5,register shift (conversational/elliptical),Any pulmonary edema?,no,yes,1.0
is there scarring in the both lung apices area?,0,baseline,is there scarring in the both lung apices area?,yes,yes,1.0
is there scarring in the both lung apices area?,1,Synonym replacement,Is there scar tissue in the apical areas of both lungs?,yes,yes,1.0
is there scarring in the both lung apices area?,2,Register shifts,Is scarring present at both pulmonary apices?,yes,yes,1.0
is there scarring in the both lung apices area?,3,Voice changes,Do both lung apices show scarring?,yes,yes,1.0
is there scarring in the both lung apices area?,4,Phrasing variations,Are both lung apices scarred?,yes,yes,1.0
is there scarring in the both lung apices area?,5,Clause reordering,"In both lung apical regions, is there scarring?",yes,yes,1.0
is there subcutaneous emphysema?,0,baseline,is there subcutaneous emphysema?,yes,no,1.0
is there subcutaneous emphysema?,1,Synonym replacement; phrasing variation,Is subcutaneous emphysema present?,yes,no,1.0
is there subcutaneous emphysema?,2,Voice change (passive); phrasing variation,Is the presence of subcutaneous emphysema noted?,yes,no,1.0
is there subcutaneous emphysema?,3,Voice change (passive); phrasing variation,Is subcutaneous emphysema observed?,yes,no,1.0
is there subcutaneous emphysema?,4,Clause reordering; phrasing variation,Subcutaneous emphysema: is it present?,yes,no,1.0
is there subcutaneous emphysema?,5,Register shift (conversational); phrasing variation,Any subcutaneous emphysema?,yes,no,1.0
is there tortuosity of the thoracic aorta?,0,baseline,is there tortuosity of the thoracic aorta?,yes,no,0.8333333333333334
is there tortuosity of the thoracic aorta?,1,Voice change,Is the thoracic aorta tortuous?,yes,no,0.8333333333333334
is there tortuosity of the thoracic aorta?,2,Synonym replacement,Does the thoracic aorta exhibit tortuosity?,yes,no,0.8333333333333334
is there tortuosity of the thoracic aorta?,3,Phrasing variation,Is tortuosity present in the thoracic aorta?,yes,no,0.8333333333333334
is there tortuosity of the thoracic aorta?,4,Phrasing variation,Is there thoracic aortic tortuosity?,no,no,0.8333333333333334
is there tortuosity of the thoracic aorta?,5,Clause reordering,Is tortuosity of the thoracic aorta present?,yes,no,0.8333333333333334
is there vascular congestion in the pulmonary area?,0,baseline,is there vascular congestion in the pulmonary area?,yes,yes,0.6666666666666666
is there vascular congestion in the pulmonary area?,1,Phrasing variation + synonym replacement,Is pulmonary vascular congestion present?,no,yes,0.6666666666666666
is there vascular congestion in the pulmonary area?,2,Clause reordering,"In the pulmonary area, is vascular congestion present?",yes,yes,0.6666666666666666
is there vascular congestion in the pulmonary area?,3,Synonym replacement,Is there vascular congestion within the lungs?,yes,yes,0.6666666666666666
is there vascular congestion in the pulmonary area?,4,Register shift + phrasing variation,Does the pulmonary region show vascular congestion?,yes,yes,0.6666666666666666
is there vascular congestion in the pulmonary area?,5,Voice change (passive) + phrasing variation,Is vascular congestion noted in the pulmonary area?,no,yes,0.6666666666666666
is there vascular redistribution in the lower zone area?,0,baseline,is there vascular redistribution in the lower zone area?,yes,no,1.0
is there vascular redistribution in the lower zone area?,1,Synonym replacement and phrasing variation,Is vascular redistribution present in the lower zone area?,yes,no,1.0
is there vascular redistribution in the lower zone area?,2,Voice change (existential to active),Does the lower zone area show vascular redistribution?,yes,no,1.0
is there vascular redistribution in the lower zone area?,3,Clause reordering,"In the lower zone area, is there vascular redistribution?",yes,no,1.0
is there vascular redistribution in the lower zone area?,4,Synonym replacement,Is there redistribution of vessels in the lower zone area?,yes,no,1.0
is there vascular redistribution in the lower zone area?,5,Phrasing variation with modal passive,Can vascular redistribution be identified in the lower zone area?,yes,no,1.0
